c1	c2	c3	c4	c5	c6	c7	c8
gene1757	gene1865	gene1927	gene2163	gene2003	gene2381	gene1980	gene1923
gene1758	gene1866	gene1931	gene2164	gene2004	gene2386	gene1986	gene1925
gene1759	gene1868	gene1932	gene2170	gene2006	gene2387	gene1988	gene1927
gene1760	gene1869	gene1934	gene2179	gene2009	gene2393	gene1989	gene1930
gene1762	gene1870	gene1935	gene2187	gene2012	gene2395	gene1990	gene1932
gene1765	gene1871	gene1936	gene2188	gene2015	gene2397	gene1992	gene1936
gene1766	gene1873	gene1937	gene2192	gene2021	gene2399	gene1993	gene1938
gene1767	gene1874	gene1938	gene2197	gene2022	gene2403	gene1996	gene1942
gene1768	gene1875	gene1941	gene2198	gene2024	gene2404	gene1997	gene1946
gene1769	gene1876	gene1945	gene2199	gene2025	gene2406	gene2003	gene1947
gene1773	gene1879	gene1949	gene2204	gene2026	gene2410	gene2006	gene1949
gene1774	gene1883	gene1951	gene2205	gene2029	gene2412	gene2012	gene1950
gene1776	gene1889	gene1955	gene2208	gene2031	gene2414	gene2015	gene1952
gene1777	gene1890	gene1956	gene2211	gene2033	gene2428	gene2019	gene1953
gene1778	gene1892	gene1957	gene2212	gene2036	gene2430	gene2021	gene1955
gene1779	gene1893	gene1958	gene2213	gene2037	gene2440	gene2025	gene1956
gene1780	gene1897	gene1960	gene2215	gene2039	gene2443	gene2027	gene1957
gene1781	gene1900	gene1964	gene2219	gene2042	gene2444	gene2029	gene1960
gene1782	gene1901	gene1965	gene2222	gene2043	gene2451	gene2033	gene1961
gene1784	gene1902	gene1967	gene2225	gene2046	gene2458	gene2034	gene1964
gene1786	gene1903	gene1969	gene2232	gene2047	gene2461	gene2035	gene1965
gene1787	gene1904	gene1970	gene2235	gene2048	gene2462	gene2037	gene1967
gene1789	gene1912	gene1975	gene2237	gene2050	gene2464	gene2039	gene1968
gene1790	gene1913	gene1978	gene2242	gene2052	gene2465	gene2040	gene1974
gene1791	gene1915	gene1979	gene2245	gene2055	gene2466	gene2041	gene1975
gene1792	gene1916	gene1987	gene2246	gene2059	gene2469	gene2042	gene1977
gene1795	gene1919	gene1988	gene2247	gene2062	gene2471	gene2043	gene1986
gene1798	gene1920	gene1989	gene2249	gene2063	gene2473	gene2046	gene1988
gene1799	gene1924	gene1992	gene2254	gene2064	gene2477	gene2052	gene1990
gene1802	gene1927	gene1994	gene2267	gene2067	gene2487	gene2055	gene1992
gene1803	gene1929	gene1997	gene2269	gene2068	gene2488	gene2058	gene1993
gene1804	gene1932	gene2000	gene2270	gene2072	gene2489	gene2059	gene1999
gene1805	gene1934	gene2003	gene2271	gene2075	gene2491	gene2063	gene2003
gene1806	gene1937	gene2004	gene2272	gene2076	gene2495	gene2067	gene2005
gene1809	gene1938	gene2008	gene2273	gene2079	gene2508	gene2069	gene2006
gene1810	gene1941	gene2009	gene2278	gene2081	gene2511	gene2072	gene2009
gene1812	gene1944	gene2010	gene2279	gene2088	gene2518	gene2073	gene2012
gene1816	gene1953	gene2012	gene2282	gene2089	gene2524	gene2074	gene2014
gene1817	gene1954	gene2013	gene2287	gene2090	gene2529	gene2076	gene2015
gene1818	gene1957	gene2015	gene2293	gene2095	gene2535	gene2079	gene2020
gene1819	gene1958	gene2021	gene2295	gene2096	gene2539	gene2081	gene2021
gene1820	gene1960	gene2022	gene2298	gene2098	gene2546	gene2084	gene2022
gene1821	gene1964	gene2025	gene2299	gene2102	gene2547	gene2087	gene2025
gene1825	gene1968	gene2027	gene2301	gene2103	gene2548	gene2088	gene2027
gene1827	gene1969	gene2030	gene2302	gene2104	gene2554	gene2089	gene2029
gene1829	gene1975	gene2033	gene2308	gene2106	gene2555	gene2090	gene2033
gene1831	gene1976	gene2039	gene2311	gene2112	gene2557	gene2093	gene2034
gene1835	gene1977	gene2046	gene2312	gene2113	gene2560	gene2094	gene2039
gene1839	gene1978	gene2047	gene2314	gene2115	gene2568	gene2095	gene2040
gene1840	gene1979	gene2048	gene2315	gene2121	gene2571	gene2096	gene2041
gene1841	gene1985	gene2050	gene2322	gene2122	gene2572	gene2102	gene2046
gene1846	gene1986	gene2055	gene2323	gene2124	gene2576	gene2104	gene2047
gene1847	gene1988	gene2056	gene2324	gene2126	gene2584	gene2107	gene2048
gene1849	gene1990	gene2058	gene2326	gene2129	gene2585	gene2112	gene2050
gene1852	gene1992	gene2059	gene2328	gene2131	gene2588	gene2113	gene2055
gene1853	gene1993	gene2060	gene2331	gene2135	gene2591	gene2115	gene2059
gene1854	gene1996	gene2063	gene2332	gene2136	gene2600	gene2120	gene2061
gene1858	gene1998	gene2066	gene2333	gene2139	gene2605	gene2121	gene2063
gene1860	gene2000	gene2067	gene2337	gene2140	gene2607	gene2123	gene2064
gene1861	gene2003	gene2069	gene2342	gene2141	gene2613	gene2124	gene2066
gene1862	gene2004	gene2073	gene2344	gene2145	gene2614	gene2126	gene2067
gene1864	gene2007	gene2075	gene2347	gene2148	gene2620	gene2128	gene2069
gene1865	gene2009	gene2076	gene2350	gene2149	gene2625	gene2135	gene2072
gene1868	gene2012	gene2077	gene2351	gene2151	gene2632	gene2136	gene2073
gene1870	gene2015	gene2079	gene2354	gene2152	gene2635	gene2139	gene2074
gene1874	gene2016	gene2080	gene2358	gene2158	gene2636	gene2140	gene2076
gene1875	gene2020	gene2081	gene2359	gene2163	gene2639	gene2141	gene2079
gene1876	gene2021	gene2084	gene2362	gene2164	gene2640	gene2142	gene2080
gene1879	gene2022	gene2088	gene2367	gene2168	gene2642	gene2143	gene2081
gene1883	gene2025	gene2089	gene2371	gene2170	gene2643	gene2145	gene2087
gene1884	gene2027	gene2090	gene2372	gene2171	gene2656	gene2148	gene2088
gene1887	gene2030	gene2094	gene2375	gene2179	gene2658	gene2155	gene2089
gene1889	gene2033	gene2095	gene2378	gene2181	gene2659	gene2156	gene2091
gene1890	gene2035	gene2096	gene2386	gene2182	gene2660	gene2157	gene2093
gene1892	gene2036	gene2099	gene2393	gene2183	gene2662	gene2164	gene2094
gene1896	gene2037	gene2101	gene2395	gene2186	gene2664	gene2176	gene2095
gene1897	gene2039	gene2102	gene2399	gene2187	gene2670	gene2183	gene2096
gene1900	gene2040	gene2103	gene2403	gene2188	gene2673	gene2185	gene2097
gene1901	gene2041	gene2104	gene2406	gene2189	gene2687	gene2187	gene2098
gene1903	gene2043	gene2107	gene2408	gene2190	gene2695	gene2188	gene2103
gene1904	gene2046	gene2112	gene2410	gene2192	gene2697	gene2194	gene2106
gene1905	gene2048	gene2121	gene2411	gene2193	gene2701	gene2195	gene2112
gene1906	gene2049	gene2124	gene2412	gene2194	gene2710	gene2198	gene2113
gene1912	gene2050	gene2126	gene2413	gene2198	gene2712	gene2199	gene2115
gene1913	gene2052	gene2129	gene2420	gene2199	gene2716	gene2203	gene2120
gene1915	gene2055	gene2135	gene2421	gene2201	gene2721	gene2204	gene2121
gene1916	gene2056	gene2138	gene2428	gene2208	gene2722	gene2208	gene2124
gene1919	gene2058	gene2139	gene2446	gene2210	gene2726	gene2212	gene2126
gene1920	gene2060	gene2140	gene2447	gene2212	gene2730	gene2216	gene2132
gene1922	gene2066	gene2142	gene2450	gene2215	gene2735	gene2217	gene2136
gene1925	gene2067	gene2145	gene2458	gene2216	gene2737	gene2218	gene2140
gene1927	gene2068	gene2149	gene2461	gene2219	gene2740	gene2227	gene2141
gene1928	gene2069	gene2151	gene2462	gene2221	gene2748	gene2234	gene2143
gene1931	gene2074	gene2152	gene2464	gene2228	gene2757	gene2235	gene2145
gene1932	gene2076	gene2158	gene2465	gene2232	gene2758	gene2236	gene2146
gene1936	gene2077	gene2161	gene2469	gene2234	gene2773	gene2243	gene2147
gene1938	gene2079	gene2162	gene2470	gene2235	gene2776	gene2245	gene2149
gene1939	gene2081	gene2164	gene2473	gene2236	gene2783	gene2247	gene2151
gene1940	gene2085	gene2166	gene2477	gene2245	gene2790	gene2248	gene2152
gene1941	gene2087	gene2167	gene2478	gene2247	gene2791	gene2249	gene2157
gene1944	gene2088	gene2168	gene2481	gene2255	gene2793	gene2256	gene2158
gene1947	gene2090	gene2180	gene2484	gene2262	gene2794	gene2258	gene2160
gene1949	gene2094	gene2185	gene2485	gene2263	gene2800	gene2262	gene2161
gene1951	gene2095	gene2187	gene2487	gene2269	gene2808	gene2263	gene2162
gene1954	gene2096	gene2189	gene2491	gene2272	gene2811	gene2264	gene2163
gene1957	gene2101	gene2190	gene2494	gene2273	gene2816	gene2266	gene2164
gene1958	gene2104	gene2192	gene2495	gene2276	gene2820	gene2268	gene2170
gene1960	gene2106	gene2194	gene2498	gene2278	gene2824	gene2272	gene2174
gene1961	gene2107	gene2199	gene2501	gene2281	gene2826	gene2273	gene2178
gene1965	gene2111	gene2203	gene2504	gene2283	gene2827	gene2277	gene2180
gene1969	gene2112	gene2207	gene2508	gene2286	gene2829	gene2278	gene2185
gene1975	gene2115	gene2210	gene2509	gene2288	gene2833	gene2279	gene2187
gene1978	gene2120	gene2212	gene2511	gene2289	gene2838	gene2281	gene2191
gene1980	gene2121	gene2216	gene2516	gene2291	gene2839	gene2282	gene2193
gene1986	gene2124	gene2219	gene2518	gene2292	gene2845	gene2284	gene2195
gene1988	gene2128	gene2221	gene2520	gene2293	gene2855	gene2286	gene2199
gene1990	gene2132	gene2222	gene2523	gene2298	gene2856	gene2288	gene2200
gene1991	gene2135	gene2227	gene2524	gene2300	gene2880	gene2293	gene2201
gene1996	gene2139	gene2229	gene2525	gene2302	gene2891	gene2295	gene2207
gene1997	gene2140	gene2231	gene2535	gene2306	gene2893	gene2298	gene2214
gene2000	gene2142	gene2233	gene2539	gene2312	gene2894	gene2302	gene2216
gene2001	gene2145	gene2235	gene2540	gene2313	gene2897	gene2303	gene2217
gene2003	gene2147	gene2239	gene2546	gene2314	gene2900	gene2304	gene2220
gene2004	gene2148	gene2241	gene2547	gene2319	gene2902	gene2312	gene2224
gene2006	gene2149	gene2245	gene2548	gene2323	gene2907	gene2313	gene2235
gene2008	gene2151	gene2247	gene2554	gene2328	gene2915	gene2314	gene2243
gene2009	gene2152	gene2249	gene2560	gene2329	gene2920	gene2317	gene2244
gene2012	gene2156	gene2250	gene2563	gene2331	gene2922	gene2318	gene2245
gene2015	gene2158	gene2256	gene2565	gene2336	gene2925	gene2321	gene2247
gene2017	gene2161	gene2258	gene2567	gene2337	gene2928	gene2323	gene2248
gene2018	gene2162	gene2260	gene2568	gene2342	gene2933	gene2324	gene2249
gene2019	gene2163	gene2262	gene2569	gene2350	gene2943	gene2325	gene2256
gene2020	gene2164	gene2263	gene2570	gene2353	gene2963	gene2328	gene2258
gene2021	gene2165	gene2265	gene2573	gene2354	gene2975	gene2329	gene2260
gene2022	gene2166	gene2267	gene2574	gene2355	gene2979	gene2331	gene2262
gene2025	gene2168	gene2269	gene2577	gene2357	gene2983	gene2332	gene2263
gene2026	gene2170	gene2272	gene2581	gene2358	gene2999	gene2333	gene2266
gene2030	gene2173	gene2273	gene2591	gene2359	gene3017	gene2335	gene2269
gene2031	gene2175	gene2278	gene2596	gene2360	gene3019	gene2336	gene2270
gene2033	gene2176	gene2280	gene2598	gene2365	gene3021	gene2337	gene2272
gene2036	gene2177	gene2281	gene2614	gene2367	gene3029	gene2338	gene2273
gene2039	gene2178	gene2286	gene2615	gene2368	gene3045	gene2340	gene2277
gene2041	gene2186	gene2289	gene2616	gene2375	gene3068	gene2344	gene2278
gene2042	gene2187	gene2293	gene2620	gene2386	gene3074	gene2347	gene2279
gene2045	gene2190	gene2296	gene2630	gene2395	gene3081	gene2350	gene2281
gene2046	gene2192	gene2298	gene2634	gene2397	gene3085	gene2351	gene2284
gene2047	gene2193	gene2301	gene2636	gene2399	gene3095	gene2356	gene2285
gene2048	gene2194	gene2302	gene2639	gene2400	gene3098	gene2359	gene2287
gene2050	gene2198	gene2312	gene2642	gene2401	gene3102	gene2361	gene2289
gene2052	gene2199	gene2313	gene2644	gene2403	gene3108	gene2366	gene2293
gene2053	gene2200	gene2314	gene2650	gene2408	gene3109	gene2374	gene2295
gene2055	gene2208	gene2319	gene2656	gene2410	gene3123	gene2377	gene2296
gene2056	gene2210	gene2321	gene2657	gene2411	gene3132	gene2385	gene2298
gene2057	gene2216	gene2323	gene2658	gene2412	gene3137	gene2386	gene2302
gene2058	gene2217	gene2326	gene2659	gene2417	gene3138	gene2389	gene2303
gene2059	gene2219	gene2327	gene2660	gene2419	gene3144	gene2390	gene2311
gene2060	gene2222	gene2328	gene2673	gene2424	gene3145	gene2393	gene2314
gene2061	gene2227	gene2331	gene2675	gene2428	gene3153	gene2395	gene2317
gene2063	gene2230	gene2332	gene2678	gene2436	gene3177	gene2397	gene2323
gene2066	gene2233	gene2335	gene2680	gene2437	gene3181	gene2399	gene2325
gene2067	gene2235	gene2337	gene2691	gene2444	gene3182	gene2400	gene2328
gene2069	gene2237	gene2338	gene2692	gene2447	gene3191	gene2401	gene2331
gene2073	gene2239	gene2342	gene2695	gene2450	gene3193	gene2406	gene2332
gene2075	gene2242	gene2344	gene2701	gene2459	gene3200	gene2407	gene2333
gene2076	gene2243	gene2346	gene2702	gene2462	gene3202	gene2409	gene2337
gene2079	gene2244	gene2347	gene2714	gene2464	gene3203	gene2412	gene2342
gene2081	gene2245	gene2350	gene2720	gene2465	gene3205	gene2418	gene2344
gene2085	gene2246	gene2353	gene2721	gene2466	gene3206	gene2421	gene2345
gene2087	gene2247	gene2356	gene2728	gene2468	gene3219	gene2424	gene2350
gene2089	gene2248	gene2358	gene2732	gene2469	gene3221	gene2428	gene2351
gene2090	gene2249	gene2359	gene2736	gene2472	gene3246	gene2437	gene2354
gene2093	gene2250	gene2361	gene2740	gene2473	gene3247	gene2438	gene2355
gene2095	gene2251	gene2364	gene2743	gene2477	gene3251	gene2442	gene2358
gene2096	gene2252	gene2367	gene2751	gene2478	gene3260	gene2446	gene2359
gene2098	gene2258	gene2368	gene2754	gene2481	gene3272	gene2448	gene2360
gene2101	gene2264	gene2371	gene2756	gene2485	gene3303	gene2451	gene2364
gene2108	gene2265	gene2372	gene2758	gene2487	gene3307	gene2453	gene2367
gene2113	gene2267	gene2374	gene2761	gene2495	gene3312	gene2456	gene2368
gene2115	gene2269	gene2375	gene2768	gene2498	gene3325	gene2461	gene2374
gene2124	gene2270	gene2385	gene2773	gene2501	gene3327	gene2462	gene2378
gene2130	gene2272	gene2386	gene2776	gene2503	gene3339	gene2464	gene2381
gene2131	gene2273	gene2390	gene2777	gene2504	gene3347	gene2465	gene2383
gene2133	gene2276	gene2394	gene2782	gene2506	gene3349	gene2469	gene2386
gene2135	gene2278	gene2395	gene2790	gene2508	gene3362	gene2473	gene2390
gene2136	gene2279	gene2399	gene2794	gene2511	gene3367	gene2474	gene2392
gene2139	gene2280	gene2400	gene2800	gene2514	gene3369	gene2484	gene2395
gene2140	gene2282	gene2404	gene2819	gene2518	gene3372	gene2485	gene2399
gene2145	gene2287	gene2405	gene2820	gene2520	gene3377	gene2487	gene2401
gene2147	gene2288	gene2406	gene2823	gene2526	gene3378	gene2489	gene2403
gene2148	gene2292	gene2407	gene2824	gene2528	gene3382	gene2490	gene2407
gene2149	gene2293	gene2408	gene2827	gene2530	gene3396	gene2492	gene2408
gene2150	gene2298	gene2412	gene2829	gene2535	gene3399	gene2495	gene2412
gene2152	gene2300	gene2413	gene2838	gene2536	gene3400	gene2501	gene2414
gene2154	gene2302	gene2420	gene2845	gene2539	gene3402	gene2503	gene2420
gene2156	gene2305	gene2428	gene2848	gene2546	gene3403	gene2510	gene2421
gene2162	gene2308	gene2429	gene2856	gene2548	gene3405	gene2511	gene2424
gene2163	gene2311	gene2435	gene2857	gene2554	gene3413	gene2519	gene2425
gene2164	gene2313	gene2442	gene2863	gene2556	gene3420	gene2521	gene2428
gene2165	gene2314	gene2452	gene2865	gene2559	gene3434	gene2522	gene2429
gene2166	gene2315	gene2453	gene2881	gene2560	gene3446	gene2523	gene2433
gene2168	gene2316	gene2459	gene2891	gene2566	gene3464	gene2528	gene2435
gene2170	gene2317	gene2461	gene2895	gene2567	gene3485	gene2534	gene2439
gene2171	gene2322	gene2462	gene2897	gene2574	gene3493	gene2535	gene2448
gene2172	gene2325	gene2464	gene2900	gene2581	gene3511	gene2536	gene2451
gene2175	gene2326	gene2465	gene2904	gene2584	gene3513	gene2538	gene2456
gene2176	gene2328	gene2469	gene2913	gene2585	gene3528	gene2544	gene2460
gene2177	gene2331	gene2470	gene2925	gene2592	gene3535	gene2548	gene2461
gene2179	gene2332	gene2473	gene2927	gene2593	gene3548	gene2554	gene2462
gene2183	gene2335	gene2475	gene2929	gene2594	gene3560	gene2557	gene2465
gene2185	gene2336	gene2477	gene2930	gene2600	gene3561	gene2565	gene2469
gene2186	gene2337	gene2481	gene2931	gene2605	gene3566	gene2568	gene2473
gene2187	gene2341	gene2482	gene2934	gene2607	gene3567	gene2577	gene2475
gene2189	gene2342	gene2485	gene2940	gene2610	gene3573	gene2579	gene2484
gene2190	gene2344	gene2487	gene2943	gene2614	gene3577	gene2585	gene2485
gene2192	gene2345	gene2494	gene2945	gene2616	gene3589	gene2586	gene2487
gene2195	gene2347	gene2495	gene2955	gene2617	gene3598	gene2593	gene2491
gene2199	gene2350	gene2496	gene2959	gene2620	gene3608	gene2597	gene2495
gene2201	gene2352	gene2498	gene2963	gene2624	gene3625	gene2602	gene2500
gene2203	gene2354	gene2500	gene2964	gene2625	gene3634	gene2604	gene2501
gene2207	gene2356	gene2502	gene2970	gene2635	gene3637	gene2610	gene2502
gene2208	gene2359	gene2504	gene2973	gene2636	gene3644	gene2613	gene2503
gene2214	gene2360	gene2507	gene2975	gene2639	gene3650	gene2616	gene2506
gene2217	gene2361	gene2508	gene3017	gene2640	gene3660	gene2617	gene2508
gene2219	gene2362	gene2511	gene3027	gene2642	gene3671	gene2621	gene2511
gene2221	gene2365	gene2520	gene3029	gene2644	gene3672	gene2625	gene2519
gene2226	gene2368	gene2524	gene3043	gene2655	gene3673	gene2626	gene2520
gene2231	gene2373	gene2525	gene3045	gene2656	gene3675	gene2635	gene2523
gene2233	gene2374	gene2528	gene3046	gene2660	gene3678	gene2636	gene2525
gene2235	gene2375	gene2535	gene3050	gene2662	gene3684	gene2643	gene2535
gene2240	gene2378	gene2539	gene3061	gene2663	gene3686	gene2644	gene2547
gene2242	gene2384	gene2540	gene3064	gene2664	gene3688	gene2647	gene2548
gene2244	gene2386	gene2546	gene3068	gene2667	gene3707	gene2650	gene2549
gene2245	gene2387	gene2547	gene3074	gene2677	gene3714	gene2655	gene2554
gene2246	gene2388	gene2548	gene3075	gene2679	gene3715	gene2656	gene2556
gene2247	gene2389	gene2554	gene3081	gene2683	gene3721	gene2657	gene2560
gene2248	gene2393	gene2556	gene3083	gene2695	gene3723	gene2659	gene2567
gene2249	gene2394	gene2557	gene3103	gene2714	gene3725	gene2660	gene2568
gene2251	gene2395	gene2565	gene3104	gene2718	gene3731	gene2662	gene2571
gene2256	gene2399	gene2567	gene3113	gene2721	gene3732	gene2663	gene2575
gene2259	gene2400	gene2568	gene3121	gene2722	gene3738	gene2664	gene2577
gene2263	gene2404	gene2571	gene3132	gene2728	gene3741	gene2667	gene2579
gene2265	gene2406	gene2573	gene3133	gene2731	gene3744	gene2673	gene2584
gene2269	gene2407	gene2577	gene3137	gene2736	gene3745	gene2675	gene2585
gene2271	gene2408	gene2584	gene3139	gene2740	gene3755	gene2677	gene2586
gene2273	gene2410	gene2585	gene3140	gene2748	gene3780	gene2691	gene2593
gene2274	gene2412	gene2596	gene3141	gene2759	gene3782	gene2695	gene2598
gene2278	gene2417	gene2598	gene3142	gene2767	gene3799	gene2702	gene2600
gene2280	gene2423	gene2610	gene3145	gene2768	gene3815	gene2714	gene2606
gene2281	gene2424	gene2613	gene3146	gene2773	gene3816	gene2715	gene2614
gene2284	gene2425	gene2614	gene3151	gene2774	gene3824	gene2716	gene2616
gene2287	gene2428	gene2616	gene3153	gene2776	gene3832	gene2719	gene2617
gene2293	gene2429	gene2617	gene3160	gene2777	gene3843	gene2726	gene2619
gene2295	gene2435	gene2620	gene3161	gene2782	gene3854	gene2727	gene2622
gene2298	gene2442	gene2622	gene3168	gene2783	gene3857	gene2736	gene2632
gene2301	gene2444	gene2632	gene3182	gene2784	gene3869	gene2740	gene2636
gene2302	gene2446	gene2633	gene3191	gene2787	gene3875	gene2747	gene2638
gene2303	gene2451	gene2635	gene3196	gene2788	gene3901	gene2769	gene2642
gene2304	gene2455	gene2636	gene3206	gene2789	gene3905	gene2773	gene2644
gene2305	gene2457	gene2639	gene3219	gene2791	gene3911	gene2777	gene2647
gene2307	gene2459	gene2641	gene3221	gene2793	gene3917	gene2779	gene2653
gene2308	gene2460	gene2642	gene3225	gene2795	gene3919	gene2786	gene2655
gene2311	gene2461	gene2643	gene3235	gene2805	gene3928	gene2800	gene2656
gene2312	gene2462	gene2650	gene3247	gene2806	gene3944	gene2802	gene2659
gene2313	gene2465	gene2651	gene3248	gene2810	gene3951	gene2816	gene2660
gene2314	gene2467	gene2656	gene3249	gene2811	gene3954	gene2825	gene2663
gene2316	gene2473	gene2659	gene3256	gene2818	gene3958	gene2826	gene2673
gene2317	gene2474	gene2660	gene3292	gene2819	gene3960	gene2827	gene2675
gene2328	gene2475	gene2667	gene3293	gene2823	gene3992	gene2829	gene2676
gene2331	gene2477	gene2673	gene3307	gene2824	gene3995	gene2835	gene2677
gene2332	gene2479	gene2677	gene3308	gene2827	gene4001	gene2838	gene2679
gene2337	gene2481	gene2681	gene3311	gene2829	gene4037	gene2845	gene2682
gene2338	gene2485	gene2686	gene3312	gene2832	gene4046	gene2849	gene2686
gene2340	gene2487	gene2692	gene3313	gene2834	gene4053	gene2850	gene2695
gene2342	gene2488	gene2694	gene3318	gene2835	gene4054	gene2852	gene2698
gene2343	gene2491	gene2695	gene3319	gene2836	gene4065	gene2859	gene2699
gene2344	gene2495	gene2698	gene3325	gene2838	gene4069	gene2860	gene2707
gene2347	gene2502	gene2699	gene3327	gene2843	gene4094	gene2863	gene2708
gene2348	gene2504	gene2701	gene3328	gene2845	gene4136	gene2865	gene2709
gene2350	gene2511	gene2711	gene3340	gene2848	gene4137	gene2869	gene2716
gene2352	gene2518	gene2714	gene3342	gene2856	gene4139	gene2870	gene2719
gene2354	gene2528	gene2718	gene3355	gene2860	gene4143	gene2872	gene2720
gene2356	gene2529	gene2721	gene3365	gene2869	gene4152	gene2878	gene2721
gene2359	gene2535	gene2726	gene3367	gene2870	gene4162	gene2880	gene2722
gene2360	gene2544	gene2728	gene3377	gene2875	gene4175	gene2883	gene2726
gene2367	gene2546	gene2731	gene3378	gene2878	gene4189	gene2890	gene2730
gene2368	gene2547	gene2740	gene3383	gene2881	gene4190	gene2893	gene2731
gene2373	gene2548	gene2743	gene3397	gene2883	gene4210	gene2894	gene2732
gene2375	gene2550	gene2750	gene3402	gene2886	gene4212	gene2900	gene2736
gene2381	gene2551	gene2752	gene3403	gene2889	gene4214	gene2904	gene2738
gene2385	gene2554	gene2753	gene3404	gene2893	gene4223	gene2907	gene2753
gene2386	gene2563	gene2755	gene3406	gene2895	gene4234	gene2919	gene2756
gene2389	gene2567	gene2756	gene3412	gene2897	gene4238	gene2920	gene2766
gene2390	gene2568	gene2762	gene3431	gene2898	gene4243	gene2921	gene2769
gene2395	gene2573	gene2776	gene3434	gene2900	gene4244	gene2924	gene2780
gene2396	gene2576	gene2790	gene3436	gene2902	gene4246	gene2929	gene2783
gene2397	gene2579	gene2791	gene3446	gene2907	gene4249	gene2930	gene2787
gene2404	gene2581	gene2793	gene3447	gene2917	gene4255	gene2939	gene2789
gene2405	gene2584	gene2805	gene3448	gene2929	gene4280	gene2943	gene2793
gene2406	gene2591	gene2808	gene3464	gene2931	gene4282	gene2945	gene2795
gene2407	gene2592	gene2813	gene3471	gene2933	gene4288	gene2952	gene2796
gene2410	gene2597	gene2820	gene3485	gene2943	gene4298	gene2963	gene2812
gene2412	gene2608	gene2823	gene3493	gene2947	gene4302	gene2969	gene2815
gene2416	gene2610	gene2824	gene3501	gene2971	gene4307	gene2976	gene2820
gene2422	gene2615	gene2828	gene3503	gene2979	gene4311	gene2983	gene2823
gene2424	gene2617	gene2829	gene3508	gene2988	gene4319	gene2991	gene2827
gene2425	gene2620	gene2837	gene3511	gene2990	gene4327	gene3005	gene2832
gene2428	gene2633	gene2838	gene3513	gene2997	gene4365	gene3009	gene2834
gene2429	gene2635	gene2839	gene3528	gene3009	gene4384	gene3012	gene2835
gene2433	gene2636	gene2840	gene3530	gene3019	gene4388	gene3016	gene2838
gene2435	gene2640	gene2848	gene3535	gene3029	gene4426	gene3019	gene2845
gene2444	gene2642	gene2851	gene3538	gene3044	gene4448	gene3025	gene2865
gene2446	gene2644	gene2855	gene3540	gene3045	gene4458	gene3030	gene2866
gene2455	gene2650	gene2860	gene3542	gene3053	gene4468	gene3035	gene2869
gene2456	gene2651	gene2865	gene3543	gene3059	gene4480	gene3045	gene2870
gene2461	gene2655	gene2867	gene3544	gene3062	gene4496	gene3046	gene2872
gene2462	gene2656	gene2877	gene3547	gene3064	gene4500	gene3048	gene2875
gene2464	gene2657	gene2878	gene3548	gene3065	gene4511	gene3050	gene2877
gene2465	gene2659	gene2883	gene3555	gene3068	gene4522	gene3055	gene2886
gene2467	gene2660	gene2886	gene3559	gene3070	gene4541	gene3060	gene2889
gene2473	gene2661	gene2887	gene3561	gene3074	gene4550	gene3063	gene2890
gene2477	gene2670	gene2891	gene3564	gene3083	gene4552	gene3068	gene2891
gene2480	gene2675	gene2897	gene3566	gene3091	gene4580	gene3070	gene2893
gene2481	gene2677	gene2898	gene3569	gene3092	gene4581	gene3071	gene2894
gene2485	gene2681	gene2900	gene3583	gene3097	gene4611	gene3075	gene2897
gene2487	gene2690	gene2902	gene3598	gene3102	gene4613	gene3078	gene2898
gene2494	gene2695	gene2903	gene3603	gene3104	gene4619	gene3082	gene2900
gene2495	gene2699	gene2905	gene3625	gene3108	gene4632	gene3085	gene2902
gene2501	gene2700	gene2912	gene3630	gene3112	gene4638	gene3091	gene2907
gene2502	gene2712	gene2913	gene3637	gene3114	gene4645	gene3096	gene2911
gene2504	gene2719	gene2917	gene3644	gene3121	gene4663	gene3101	gene2913
gene2506	gene2722	gene2924	gene3650	gene3123	gene4674	gene3103	gene2921
gene2511	gene2724	gene2927	gene3663	gene3125	gene4676	gene3104	gene2924
gene2512	gene2726	gene2929	gene3671	gene3129	gene4683	gene3107	gene2929
gene2528	gene2728	gene2930	gene3672	gene3134	gene4693	gene3109	gene2930
gene2535	gene2734	gene2943	gene3673	gene3135	gene4697	gene3112	gene2931
gene2538	gene2735	gene2947	gene3685	gene3136	gene4704	gene3115	gene2936
gene2541	gene2736	gene2959	gene3693	gene3137	gene4722	gene3119	gene2941
gene2546	gene2737	gene2970	gene3704	gene3139	gene4723	gene3121	gene2942
gene2547	gene2740	gene2977	gene3713	gene3144	gene4724	gene3135	gene2943
gene2548	gene2743	gene2987	gene3714	gene3145	gene4740	gene3136	gene2960
gene2551	gene2752	gene2988	gene3719	gene3146	gene4756	gene3137	gene2963
gene2554	gene2758	gene2994	gene3727	gene3153	gene4783	gene3140	gene2964
gene2560	gene2770	gene2997	gene3731	gene3154	gene4800	gene3144	gene2967
gene2567	gene2776	gene3009	gene3746	gene3166	gene4816	gene3145	gene2971
gene2568	gene2781	gene3010	gene3762	gene3169	gene4841	gene3150	gene2972
gene2571	gene2782	gene3016	gene3767	gene3174	gene4844	gene3153	gene2979
gene2581	gene2784	gene3019	gene3773	gene3182	gene4853	gene3160	gene2981
gene2584	gene2789	gene3021	gene3776	gene3191	gene4870	gene3161	gene2988
gene2587	gene2790	gene3025	gene3782	gene3194	gene4895	gene3170	gene2996
